Brawler,Super Name,Description,Damage,Duration,Range,Attack Size,Super Charge Rate,HyperCharge Charge Rate
GUS,Spooky Boy,"Gus uses Spooky (a balloon creation and also his best friend), to create a shield around himself or one of his teammates and pushes nearby enemies back.",1080,5 seconds ,11.44 (Very Long),1.33,27%,9.36%
BUSTER,Montage,"Buster projects a shield in front of him, blocking all enemy projectiles and reflecting the energy back towards enemies.",1380,3 seconds,5.33 (Normal),30°,20.01%,12.60%
CHESTER,Jack in the Box,Chester will have 1 random Supers out of his 5 Supers,640,N/A,Varies,varies,12.33%,3.31%
GRAY,Dimensional Doors,"Gray creates a set of doors for him and his teammates, useful for quick escapes and sneaky attacks!",1120,N/A,9.33 (Long),N/A,N/A,N/A
MANDY,Sugar Ray,"Mandy shoots a long ray of sugar passing through enemies and the environment, dealing massive damage.",1300,N/A,5.33 (Normal),3,10.05%,
R-T,Hide And Seek/ Eat Static,"R-T splits into two. R-T's legs are left behind while both R-T and his legs gain a short ranged, powerful attack that marks enemies. R-T moves faster while split./R-T instantly teleports to his legs and becomes whole again, healing for 1000.",700,N/A,3 (Short),N/A,15%,N/A
WILLOW,Hex,"Willow fires a single tadpole towards an enemy Brawler, fully healing them and taking control over their mind if it hits. Willow can use the basic attack of the enemy Brawler and move them as she pleases. Mind control breaks after 4 seconds or when the Brawler reaches 30% HP.",400,3 seconds,7.33 (Long),1,14.45%,4.44%
MAISIE,ShockWave,Don't get too close or a personal space will be created for you.,1500,N/A,5,N/A,23.45%,5%
HANK,Fish Torpedos,"Hank launches Fish Torpedoes in all directions, and he heals for a part of his missing health.",2300,N/A,9.33 (Long),1,19%,15.02%
CORDELIUS,This is my Domain,Cordelius shoots a Shadow Mushroom that passes through walls and on hit transfers the target and him to the Shadow Realm for 8 seconds. Cordelius has 20% higher movement speed and 30% faster reload speed in the Shadow Realm.,2300,8 seconds,7.33 (Long),0.67,N/A,N/A
DOUG,Second Serving,A special spiced up hot dog for a target ally or Doug himself. When a buffed Brawler is defeated they will come back with 100% health after a short delay.,900,5 seconds,7.33 (Long),1,20.01%,N/A
PEARL,Let Out Some Steam,"Consume and release all the built up Heat in an explosion, damaging all nearby enemies. The higher the Heat the higher the damage.",2300,N/A,3,N/A,14.45%,9.36%
CHUCK,Choo-Choo!,"Dash to the nearest Post in line of sight, damaging enemies on the way. While no Posts are in line of sight, throw a new Post to the ground.",2700,N/A,11.44 (Very Long),N/A,20.01%,N/A
CHARLIE,Cocoon,"Charlie throws forward a bundle of hair wrapping around an enemy on hit, disabling them until the hairy cocoon is destroyed.",800,5 seconds,9.33 (Long),1.33,N/A,N/A
MICO,Out of Frame,"Mico jumps out of frame, becoming invulnerable while controlling his landing position and damaging nearby enemies while landing.",1000,N/A,Very Long,6,10.05%,9.36%
KIT,Carry Me,Jump and attach to the back of another Brawler. Heals allies and damages enemies over time.,1200,10 seconds,7.33(Long),N/A,14.45%,N/A
LARRY & LAWRIE,Call for Backup,Throw a signal to summon your twin Lawrie for help. He will seek out any trouble makers and serve justice with his taser gun.,1800,N/A,7.33 (Long)(Lawrie),N/A,12.33%,N/A
MELODIE,Catchy Chorus,Melodie can dash forward multiple times to catch her enemies.,340,N/A,7.33 (Long),N/A,N/A,N/A
ANGELO,Welcome to the Swamp,"Angelo creates a poison cloud that lasts for 8 seconds and damages enemies. While in the cloud, Angelo's arrows become poisoned, dealing extra damage over time.",2231,10 Seconds,N/A,2,23.45%,9.36%
DRACO,Dragon Solo,"Draco mounts up on his fire breathing dragon, gaining increased movement speed and damage reduction.",1400,10 seconds,N/A,N/A,17%,12.60%
LILY,Flourish,"Throw a seed in a straight line. If it hits an enemy, Lily teleports behind them",1000,N/A,9.33 (Long),1.33,16%,N/A
BERRY,Sweet Swirl,"Berry dashes forward, spinning and dropping melted ice cream around him, damage enemies and healing allies on impact and over time.",660,N/A,9.33 (Long),3.33,12.33%,5%
CLANCY,Torrent,"Clancy's Super upgrades each stage.
STAGE 1: Clancy fires a torrent of paintballs in a cone in front of him.
STAGE 2: Paintballs travel further.
STAGE 3: Paintballs deal 16% additional damage!",660,N/A,9.33 (Long),150°,14.45%,15.02%
MOE,Moe's Machine,"Moe gets into his trusty Driller, drilling to targeted location, dealing damage and knocking Brawlers up at the destination. He gains a new attack in his Driller form.",2400,N/A,9.33 (Long),2.67,14.45%,N/A
KENJI,Slashimi,"Kenji targets an area with precise slices, dealing heavy damage and gaining invulnerability for the duration of the Super.",800,N/A,9.33 (Long),6,23.45%,9.36%
SHADE,Incorporeal form,Shade leaves the physical world and can move directly through the environment. It also gains a movement speed boost.,1200,6 seconds,3 (Short),N/A,20.01%,12.60%
JUJU,From The Other Side,Juju summons Gris-Gris. This spooky voodoo doll drags itself to the nearest enemy and throws needles at them.,800,N/A,7.33(Long),N/A,20.01%,N/A
MEEPLE,Critcial Success!!,"Meeple cheats, somehow rolling a NAT21 on a d20, allowing all team projectiles in the Super area to pierce through environment for 10 seconds",1240,N/A,4,N/A,14.45%,N/A
OLLIE,Hypnotized,"Ollie dashes forward with a gnarly hoverboard trick and starts charging a music blast, dealing 1600 damage and hypnotizing all enemies around him for 2.5 seconds. While charging the music blast, Ollie will use up to 50% of his max ammo. Enemies will move towards Ollie and cannot be controlled while being hypnotized.",1000,2 seconds,5.33 (Normal),4,20.01%,N/A
LUMI,Blast Beat,"Lumi pounds the ground three times, causing explosions that deal area damage. The third explosion briefly snares enemies, making them unable to move but still able to attack.",900,N/A,11.44 (Very Long),180°,12.33%,N/A
FINX,Time Warp,"Finx warps time in an area, decreasing the projectile speed of enemy Brawlers caught in the Super, while increasing the projectile speed of any teammates and himself. Finx's projectiles will also get a damage buff.",900,N/A,4,N/A,12.33%,N/A
JAE YONG,Mix It Up!,Switch between Jae-yong's Work & Party modes! Switching modes changes Jae-yong's main attack and activates the matching ability.,750,N/A,4,N/A,21.25%,N/A
,,WORK: Gives all nearby teammates a temporary movement speed boost.,,,,,,N/A
,,PARTY: Heals all nearby teammates.,,,,,,
